Fecha;Valor UF
07-mar-24;36,918.61
06-mar-24;36,909.73
05-mar-24;36,900.86
04-mar-24;36,891.98
03-mar-24;36,883.11
02-mar-24;36,874.24
01-mar-24;36,865.37
29-feb-24;36,856.50
28-feb-24;36,847.64
27-feb-24;36,838.78
26-feb-24;36,829.92
25-feb-24;36,821.06
24-feb-24;36,812.20
23-feb-24;36,803.35
22-feb-24;36,794.50
21-feb-24;36,785.65
20-feb-24;36,776.80
19-feb-24;36,767.95
18-feb-24;36,759.11
17-feb-24;36,750.27
16-feb-24;36,741.43
15-feb-24;36,732.60
14-feb-24;36,723.76
13-feb-24;36,714.93
12-feb-24;36,706.10
11-feb-24;36,697.27
10-feb-24;36,688.44
09-feb-24;36,679.62
08-feb-24;36,685.55
07-feb-24;36,691.48
06-feb-24;36,697.42
05-feb-24;36,703.35
04-feb-24;36,709.29
03-feb-24;36,715.22
02-feb-24;36,721.16
01-feb-24;36,727.10
31-ene-24;36,733.04
30-ene-24;36,738.98
29-ene-24;36,744.92
28-ene-24;36,750.86
27-ene-24;36,756.80
26-ene-24;36,762.75
25-ene-24;36,768.69
24-ene-24;36,774.64
23-ene-24;36,780.58
22-ene-24;36,786.53
21-ene-24;36,792.48
20-ene-24;36,798.43
19-ene-24;36,804.38
18-ene-24;36,810.33
17-ene-24;36,816.29
16-ene-24;36,822.24
15-ene-24;36,828.19
14-ene-24;36,834.15
13-ene-24;36,840.10
12-ene-24;36,846.06
11-ene-24;36,852.02
10-ene-24;36,857.98
09-ene-24;36,863.94
08-ene-24;36,855.65
07-ene-24;36,847.36
06-ene-24;36,839.07
05-ene-24;36,830.78
04-ene-24;36,822.49
03-ene-24;36,814.21
02-ene-24;36,805.92
01-ene-24;36,797.64
31-dic-23;36,789.36
30-dic-23;36,781.09
29-dic-23;36,772.81
28-dic-23;36,764.54
27-dic-23;36,756.26
26-dic-23;36,747.99
25-dic-23;36,739.73
24-dic-23;36,731.46
23-dic-23;36,723.20
22-dic-23;36,714.93
21-dic-23;36,706.67
20-dic-23;36,698.41
19-dic-23;36,690.16
18-dic-23;36,681.90
17-dic-23;36,673.65
16-dic-23;36,665.40
15-dic-23;36,657.15
14-dic-23;36,648.90
13-dic-23;36,640.65
12-dic-23;36,632.41
11-dic-23;36,624.17
10-dic-23;36,615.93
09-dic-23;36,607.69
08-dic-23;36,602.82
07-dic-23;36,597.95
06-dic-23;36,593.08
05-dic-23;36,588.21
04-dic-23;36,583.34
03-dic-23;36,578.47
02-dic-23;36,573.60
01-dic-23;36,568.74
30-nov-23;36,563.87
29-nov-23;36,559.01
28-nov-23;36,554.14
27-nov-23;36,549.28
26-nov-23;36,544.42
25-nov-23;36,539.55
24-nov-23;36,534.69
23-nov-23;36,529.83
22-nov-23;36,524.97
21-nov-23;36,520.11
20-nov-23;36,515.25
19-nov-23;36,510.39
18-nov-23;36,505.53
17-nov-23;36,500.68
16-nov-23;36,495.82
15-nov-23;36,490.96
14-nov-23;36,486.11
13-nov-23;36,481.25
12-nov-23;36,476.40
11-nov-23;36,471.55
10-nov-23;36,466.69
09-nov-23;36,461.84
08-nov-23;36,453.63
07-nov-23;36,445.43
06-nov-23;36,437.23
05-nov-23;36,429.03
04-nov-23;36,420.84
03-nov-23;36,412.64
02-nov-23;36,404.45
01-nov-23;36,396.26
31-oct-23;36,388.07
30-oct-23;36,379.88
29-oct-23;36,371.70
28-oct-23;36,363.52
27-oct-23;36,355.33
26-oct-23;36,347.15
25-oct-23;36,338.98
24-oct-23;36,330.80
23-oct-23;36,322.63
22-oct-23;36,314.45
21-oct-23;36,306.28
20-oct-23;36,298.11
19-oct-23;36,289.95
18-oct-23;36,281.78
17-oct-23;36,273.62
16-oct-23;36,265.46
15-oct-23;36,257.30
14-oct-23;36,249.14
13-oct-23;36,240.99
12-oct-23;36,232.83
11-oct-23;36,224.68
10-oct-23;36,216.53
09-oct-23;36,208.38
08-oct-23;36,207.18
07-oct-23;36,205.97
06-oct-23;36,204.76
05-oct-23;36,203.56
04-oct-23;36,202.35
03-oct-23;36,201.14
02-oct-23;36,199.94
01-oct-23;36,198.73
30-sept-23;36,197.53
29-sept-23;36,196.32
28-sept-23;36,195.11
27-sept-23;36,193.91
26-sept-23;36,192.70
25-sept-23;36,191.50
24-sept-23;36,190.29
23-sept-23;36,189.09
22-sept-23;36,187.88
21-sept-23;36,186.67
20-sept-23;36,185.47
19-sept-23;36,184.26
18-sept-23;36,183.06
17-sept-23;36,181.85
16-sept-23;36,180.65
15-sept-23;36,179.44
14-sept-23;36,178.24
13-sept-23;36,177.03
12-sept-23;36,175.83
11-sept-23;36,174.62
10-sept-23;36,173.42
09-sept-23;36,172.21
08-sept-23;36,167.55
07-sept-23;36,162.90
06-sept-23;36,158.24
05-sept-23;36,153.58
04-sept-23;36,148.93
03-sept-23;36,144.27
02-sept-23;36,139.62
01-sept-23;36,134.97
31-ago-23;36,130.31
30-ago-23;36,125.66
29-ago-23;36,121.01
28-ago-23;36,116.36
27-ago-23;36,111.71
26-ago-23;36,107.06
25-ago-23;36,102.41
24-ago-23;36,097.76
23-ago-23;36,093.11
22-ago-23;36,088.46
21-ago-23;36,083.82
20-ago-23;36,079.17
19-ago-23;36,074.53
18-ago-23;36,069.88
17-ago-23;36,065.24
16-ago-23;36,060.59
15-ago-23;36,055.95
14-ago-23;36,051.31
13-ago-23;36,046.66
12-ago-23;36,042.02
11-ago-23;36,037.38
10-ago-23;36,032.74
09-ago-23;36,028.10
08-ago-23;36,030.43
07-ago-23;36,032.75
06-ago-23;36,035.08
05-ago-23;36,037.41
04-ago-23;36,039.73
03-ago-23;36,042.06
02-ago-23;36,044.39
01-ago-23;36,046.72
31-jul-23;36,049.05
30-jul-23;36,051.37
29-jul-23;36,053.70
28-jul-23;36,056.03
27-jul-23;36,058.36
26-jul-23;36,060.69
25-jul-23;36,063.02
24-jul-23;36,065.35
23-jul-23;36,067.68
22-jul-23;36,070.00
21-jul-23;36,072.33
20-jul-23;36,074.66
19-jul-23;36,076.99
18-jul-23;36,079.32
17-jul-23;36,081.65
16-jul-23;36,083.98
15-jul-23;36,086.31
14-jul-23;36,088.64
13-jul-23;36,090.98
12-jul-23;36,093.31
11-jul-23;36,095.64
10-jul-23;36,097.97
09-jul-23;36,100.30
08-jul-23;36,099.10
07-jul-23;36,097.90
06-jul-23;36,096.70
05-jul-23;36,095.49
04-jul-23;36,094.29
03-jul-23;36,093.09
02-jul-23;36,091.89
01-jul-23;36,090.68
30-jun-23;36,089.48
29-jun-23;36,088.28
28-jun-23;36,087.08
27-jun-23;36,085.87
26-jun-23;36,084.67
25-jun-23;36,083.47
24-jun-23;36,082.27
23-jun-23;36,081.07
22-jun-23;36,079.86
21-jun-23;36,078.66
20-jun-23;36,077.46
19-jun-23;36,076.26
18-jun-23;36,075.06
17-jun-23;36,073.85
16-jun-23;36,072.65
15-jun-23;36,071.45
14-jun-23;36,070.25
13-jun-23;36,069.05
12-jun-23;36,067.84
11-jun-23;36,066.64
10-jun-23;36,065.44
09-jun-23;36,064.24
08-jun-23;36,060.75
07-jun-23;36,057.27
06-jun-23;36,053.79
05-jun-23;36,050.30
04-jun-23;36,046.82
03-jun-23;36,043.34
02-jun-23;36,039.85
01-jun-23;36,036.37
31-may-23;36,032.89
30-may-23;36,029.41
29-may-23;36,025.93
28-may-23;36,022.44
27-may-23;36,018.96
26-may-23;36,015.48
25-may-23;36,012.00
24-may-23;36,008.52
23-may-23;36,005.05
22-may-23;36,001.57
21-may-23;35,998.09
20-may-23;35,994.61
19-may-23;35,991.13
18-may-23;35,987.65
17-may-23;35,984.18
16-may-23;35,980.70
15-may-23;35,977.22
14-may-23;35,973.75
13-may-23;35,970.27
12-may-23;35,966.79
11-may-23;35,963.32
10-may-23;35,959.84
09-may-23;35,956.37
08-may-23;35,943.26
07-may-23;35,930.15
06-may-23;35,917.05
05-may-23;35,903.96
04-may-23;35,890.87
03-may-23;35,877.78
02-may-23;35,864.70
01-may-23;35,851.62
30-abr-23;35,838.55
29-abr-23;35,825.49
28-abr-23;35,812.42
27-abr-23;35,799.37
26-abr-23;35,786.31
25-abr-23;35,773.27
24-abr-23;35,760.22
23-abr-23;35,747.19
22-abr-23;35,734.15
21-abr-23;35,721.12
20-abr-23;35,708.10
19-abr-23;35,695.08
18-abr-23;35,682.07
17-abr-23;35,669.06
16-abr-23;35,656.05
15-abr-23;35,643.05
14-abr-23;35,630.06
13-abr-23;35,617.07
12-abr-23;35,604.08
11-abr-23;35,591.10
10-abr-23;35,578.12
09-abr-23;35,565.15
08-abr-23;35,566.30
07-abr-23;35,567.44
06-abr-23;35,568.59
05-abr-23;35,569.74
04-abr-23;35,570.89
03-abr-23;35,572.04
02-abr-23;35,573.19
01-abr-23;35,574.33
31-mar-23;35,575.48
30-mar-23;35,576.63
29-mar-23;35,577.78
28-mar-23;35,578.93
27-mar-23;35,580.07
26-mar-23;35,581.22
25-mar-23;35,582.37
24-mar-23;35,583.52
23-mar-23;35,584.67
22-mar-23;35,585.82
21-mar-23;35,586.96
20-mar-23;35,588.11
19-mar-23;35,589.26
18-mar-23;35,590.41
17-mar-23;35,591.56
16-mar-23;35,592.71
15-mar-23;35,593.86
14-mar-23;35,595.01
13-mar-23;35,596.15
12-mar-23;35,597.30
11-mar-23;35,598.45
10-mar-23;35,599.60
09-mar-23;35,600.75
08-mar-23;35,590.62
07-mar-23;35,580.49
06-mar-23;35,570.37
05-mar-23;35,560.24
04-mar-23;35,550.13
03-mar-23;35,540.01
02-mar-23;35,529.90
01-mar-23;35,519.79
28-feb-23;35,509.68
27-feb-23;35,499.58
26-feb-23;35,489.48
25-feb-23;35,479.38
24-feb-23;35,469.28
23-feb-23;35,459.19
22-feb-23;35,449.10
21-feb-23;35,439.02
20-feb-23;35,428.93
19-feb-23;35,418.85
18-feb-23;35,408.77
17-feb-23;35,398.70
16-feb-23;35,388.63
15-feb-23;35,378.56
14-feb-23;35,368.49
13-feb-23;35,358.43
12-feb-23;35,348.37
11-feb-23;35,338.31
10-feb-23;35,328.25
09-feb-23;35,318.20
08-feb-23;35,314.79
07-feb-23;35,311.37
06-feb-23;35,307.96
05-feb-23;35,304.55
04-feb-23;35,301.14
03-feb-23;35,297.73
02-feb-23;35,294.32
01-feb-23;35,290.91
31-ene-23;35,287.50
30-ene-23;35,284.09
29-ene-23;35,280.68
28-ene-23;35,277.27
27-ene-23;35,273.86
26-ene-23;35,270.45
25-ene-23;35,267.04
24-ene-23;35,263.64
23-ene-23;35,260.23
22-ene-23;35,256.82
21-ene-23;35,253.41
20-ene-23;35,250.01
19-ene-23;35,246.60
18-ene-23;35,243.20
17-ene-23;35,239.79
16-ene-23;35,236.39
15-ene-23;35,232.98
14-ene-23;35,229.58
13-ene-23;35,226.17
12-ene-23;35,222.77
11-ene-23;35,219.37
10-ene-23;35,215.96
09-ene-23;35,212.56
08-ene-23;35,201.26
07-ene-23;35,189.96
06-ene-23;35,178.67
05-ene-23;35,167.38
04-ene-23;35,156.09
03-ene-23;35,144.81
02-ene-23;35,133.53
01-ene-23;35,122.26
